no,cert_type,level,subject,domain_area,q_type,item_purpose,difficulty,content,option_a,option_b,option_c,option_d,correct_answer,points,explanation,source_ref,shuffle_exempt,review_status,review_comment,version,created_by,created_date
11,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,같은 내용을 고객용·내부용에 같은 톤으로 출력해 문제가 된다. 가장 적절한 보완은?,톤은 AI가 상황에 맞게 알아서 정하도록 그대로 맡긴다,톤이 안 맞으면 받은 뒤 사람이 매번 고친다,대상 독자와 원하는 톤을 지시에 함께 지정한다,내용만 맞으면 톤은 지정하지 않는다,,1,정답 근거 대상·톤을 지정하면 상황에 맞는 출력을 받는다. 보기 오답/정답 분석 A 오답. 톤 미지정은 부적절한 어조를 부른다. B 오답. 매번 수정은 비효율적이다. C 정답. 대상·톤을 지정하면 상황에 맞는 출력을 받는다. D 오답. 대상에 맞는 톤도 지시의 일부다. 실무 포인트: 대상·톤은 지시에 함께 지정한다. 변별 의도: 톤을 위임·후처리하는 사람과 지정하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0011,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
12,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,사실 정보가 포함된 답변을 받는 지시를 설계하려 한다. 가장 적절한 지시는?,언제나 그럴듯하고 자신 있는 어조로 막힘없이 답하도록 지시한다,사실 여부는 AI가 알아서 보장하도록 맡긴다,검증 지시 없이 매끄러운 답만 요청한다,근거를 함께 제시하고 모르면 모른다고 답하도록 지시한다,,1,정답 근거 사실 정보는 근거 제시·불확실 표시를 지시해 환각을 줄여야 한다. 보기 오답/정답 분석 A 오답. 자신감 있는 어조 요청은 오히려 환각을 키운다. B 오답. 검증을 맡기면 오류가 통과한다. C 오답. 검증 요청 누락은 사실 오류를 부른다. D 정답. 사실 정보는 근거 제시·불확실 표시를 지시해 환각을 줄여야 한다. 실무 포인트: 사실 답변엔 근거·불확실 표시를 지시한다. 변별 의도: 자신감만 요청하는 사람과 검증을 요청하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0012,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
13,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,경우에 따라 다르게 처리해야 하는 작업을 한 지시로 설계하려 한다. 가장 적절한 방법은?,경우별 조건과 그때의 처리 방식을 지시에 명시한다,여러 경우를 AI가 알아서 구분해 처리하도록 그대로 맡긴다,가장 흔한 경우만 지시하고 나머지는 둔다,경우 구분 없이 하나로 뭉쳐 지시한다,,1,정답 근거 조건별 처리 방식을 명시하면 여러 경우를 일관되게 다룰 수 있다. 보기 오답/정답 분석 A 정답. 조건별 처리 방식을 명시하면 여러 경우를 일관되게 다룰 수 있다. B 오답. 조건 미지정은 임의 처리를 부른다. C 오답. 나머지 경우가 처리되지 않는다. D 오답. 뭉뚱그린 지시는 경우별 차이를 놓친다. 실무 포인트: 조건부 작업은 경우별 처리 방식을 명시한다. 변별 의도: 경우를 위임·생략하는 사람과 조건을 명시하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0013,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
14,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,"여러 단계 작업의 지시를 설계할 때, 단계 간 연결로 가장 적절한 것은?",모든 단계를 한 번에 넣고 AI가 알아서 잇도록 그대로 맡긴다,앞 단계의 출력을 다음 단계 지시의 입력으로 명시해 잇는다,단계는 따로 돌리고 연결은 신경 쓰지 않는다,단계마다 처음부터 맥락을 다시 길게 반복해 쓴다,,1,정답 근거 앞 출력을 다음 입력으로 명시해 연결하면 단계가 일관되게 이어진다. 보기 오답/정답 분석 A 오답. 연결을 맡기면 단계 간 정합이 흔들린다. B 정답. 앞 출력을 다음 입력으로 명시해 연결하면 단계가 일관되게 이어진다. C 오답. 연결 부재는 단계 간 단절을 부른다. D 오답. 맥락 반복은 비효율적이고 오류를 늘린다. 실무 포인트: 단계는 앞 출력을 다음 입력으로 명시해 잇는다. 변별 의도: 연결을 위임·방치하는 사람과 명시하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0014,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
15,AXIS,L2,고급 AI 지시·워크플로우 설계,현업문제정의형,현업문제정의형,tool_use,medium,“마케팅을 AI로 잘해줘”라는 막연한 요구를 AI 지시로 바꾸려 한다. 가장 적절한 첫 조치는?,‘마케팅 전반을 알아서 잘 해결해줘’라고 막연한 채로 그대로 지시한다,마케팅은 AI가 알아서 다 하도록 맡긴다,막연한 요구를 구체적 작업(카피 초안·일정 정리 등)으로 나눈다,일단 아무 마케팅 작업이나 시켜 본다,,1,정답 근거 막연한 요구는 AI가 다룰 수 있는 구체적 작업 단위로 나눠야 지시로 만들 수 있다. 보기 오답/정답 분석 A 오답. 막연한 지시는 막연한 결과를 낳는다. B 오답. 범위가 큰 일을 통째로 맡기면 어긋난다. C 정답. 막연한 요구는 AI가 다룰 수 있는 구체적 작업 단위로 나눠야 지시로 만들 수 있다. D 오답. 무계획 시도는 효과가 흩어진다. 실무 포인트: 막연한 요구는 구체적 작업 단위로 나눈다. 변별 의도: 통째로 지시·위임하는 사람과 작업으로 나누는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0015,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
16,AXIS,L2,고급 AI 지시·워크플로우 설계,현업문제정의형,현업문제정의형,tool_use,medium,"AI에 작업을 맡기는 지시를 설계하기 전, 가장 먼저 정할 것은?",입력·결과는 AI가 알아서 정하도록 두고 일단 시작한다,일단 시켜 보고 입력·결과는 나중에 정한다,결과만 정하고 입력은 신경 쓰지 않는다,무엇을 입력으로 주고 어떤 결과를 받을지 정한다,,1,정답 근거 입력과 기대 결과를 먼저 정해야 지시를 구체적으로 설계할 수 있다. 보기 오답/정답 분석 A 오답. 입출력 정의는 지시 설계의 출발점이다. B 오답. 사후 정의는 재작업을 늘린다. C 오답. 입력 미정의는 결과 품질을 떨어뜨린다. D 정답. 입력과 기대 결과를 먼저 정해야 지시를 구체적으로 설계할 수 있다. 실무 포인트: 지시 설계 전 입력·기대 결과를 먼저 정한다. 변별 의도: 입출력을 위임·미루는 사람과 먼저 정의하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0016,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
17,AXIS,L2,고급 AI 지시·워크플로우 설계,현업문제정의형,현업문제정의형,tool_use,medium,매번 비슷한 작업을 시키는데 그때그때 프롬프트를 새로 쓴다. 가장 적절한 개선은?,반복 작업용 프롬프트 틀(템플릿)을 만들어 재사용한다,매번 AI가 알아서 형식을 맞춰 주길 기대하며 새로 쓴다,작업마다 완전히 다른 프롬프트를 즉흥으로 쓴다,틀 없이 떠오르는 대로 지시한다,,1,정답 근거 반복 작업은 검증된 프롬프트 틀을 만들어 재사용하면 품질과 효율이 오른다. 보기 오답/정답 분석 A 정답. 반복 작업은 검증된 프롬프트 틀을 만들어 재사용하면 품질과 효율이 오른다. B 오답. 매번 새로 쓰면 품질이 들쭉날쭉하다. C 오답. 즉흥 작성은 일관성·효율이 낮다. D 오답. 틀 부재는 품질 편차를 키운다. 실무 포인트: 반복 작업은 프롬프트 틀을 만들어 재사용한다. 변별 의도: 매번 새로 쓰는 사람과 템플릿을 설계하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0017,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
18,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,easy,좋은 프롬프트를 쓰기 위해 기본적으로 갖춰야 할 요소로 가장 적절한 것은?,최대한 길고 화려한 문장으로 쓴다,역할·맥락·목표·출력 형식을 갖춘다,전문 용어를 가능한 한 최대한 많이 넣어 쓴다,명령어를 짧게 한 단어로만 쓴다,,1,정답 근거 역할·맥락·목표·출력 형식을 갖추는 것이 좋은 프롬프트의 기본이다. 보기 오답/정답 분석 A 오답. 길이·화려함은 좋은 프롬프트의 기준이 아니다. B 정답. 역할·맥락·목표·출력 형식을 갖추는 것이 좋은 프롬프트의 기본이다. C 오답. 용어 양은 품질 기준이 아니다. D 오답. 한 단어로는 맥락·목표가 빠진다. 실무 포인트: 좋은 프롬프트는 역할·맥락·목표·형식을 갖춘다. 변별 의도: 길이·용어로 채우는 사람과 4요소를 갖추는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0018,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
19,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,easy,"첫 답변이 기대에 못 미칠 때, 기본적으로 할 일은?",첫 답변을 그대로 사용한다,기존 맥락을 모두 버리고 완전히 다른 주제로 새로 시작한다,부족한 점을 지적해 수정 프롬프트로 다시 요청한다,같은 프롬프트를 그대로 반복한다,,1,정답 근거 부족한 점을 짚어 수정 프롬프트로 이어가는 것이 기본 개선법이다. 보기 오답/정답 분석 A 오답. 검증·개선 없이 쓰면 안 된다. B 오답. 맥락을 버리는 재시작은 비효율적이다. C 정답. 부족한 점을 짚어 수정 프롬프트로 이어가는 것이 기본 개선법이다. D 오답. 반복은 개선이 없다. 실무 포인트: 첫 답변은 수정 프롬프트로 개선한다. 변별 의도: 그대로 쓰거나 버리는 사람과 개선하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0019,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
20,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,easy,"원하는 형태로 결과를 받으려면, 지시에 기본적으로 포함할 것은?",출력 형식은 따로 적지 않고 원하는 내용만 요청한다,형식은 AI가 정하도록 둔다,형식보다 분량만 길게 요청한다,표·리스트 등 원하는 출력 형식을 지정한다,,1,정답 근거 원하는 출력 형식을 지정하는 것이 일관된 결과를 받는 기본이다. 보기 오답/정답 분석 A 오답. 형식 미지정은 들쭉날쭉한 출력을 부른다. B 오답. 형식 위임은 일관성을 떨어뜨린다. C 오답. 분량은 형식을 대신하지 못한다. D 정답. 원하는 출력 형식을 지정하는 것이 일관된 결과를 받는 기본이다. 실무 포인트: 원하는 출력 형식은 지시에 지정한다. 변별 의도: 형식을 빼는 사람과 지정하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0020,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_1차20문항_v1_1.html,2,,
21,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,hard,5단계 워크플로우에서 1단계 오류가 끝까지 전파돼 결과를 망친다. 가장 적절한 설계는?,각 단계를 더 자세히 지시해 검토 없이 한 번에 끝까지 돌린다,오류 보정은 AI가 알아서 하도록 그대로 맡긴다,단계마다 중간 결과를 검토·확정한 뒤 다음으로 넘긴다,결과가 틀리면 처음부터 전부 다시 돌린다,,1,정답 근거 단계별 중간 검토·확정 지점을 두면 오류가 다음 단계로 전파되기 전에 잡힌다. 보기 오답/정답 분석 A 오답. 자세히 지시해도 중간 검토가 없으면 오류가 전파된다. B 오답. 오류 검출·보정 지점은 사람이 설계해야 한다. C 정답. 단계별 중간 검토·확정 지점을 두면 오류가 다음 단계로 전파되기 전에 잡힌다. D 오답. 중간 검토로 풀 일을 전면 재실행으로 대응한다. 실무 포인트: 워크플로우는 단계별 중간 검토 지점을 둔다. 변별 의도: 검토 없이 끝까지 돌리는 사람과 중간 검토를 설계하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0021,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_2차20문항_v1_1.html,2,,
22,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,hard,외부 발송·금전 처리 등 고위험 결과를 내는 워크플로우를 설계하려 한다. 가장 적절한 설계는?,고위험 출력 직전에 사람이 확인·승인하는 지점을 둔다,속도를 위해 사람 확인 없이 자동으로 끝까지 실행하도록 둔다,위험은 AI가 알아서 회피하도록 그대로 맡긴다,위험하니 워크플로우를 아예 만들지 않는다,,1,정답 근거 고위험 결과는 실행 직전에 사람 확인·승인 지점을 둬 자동 실행의 위험을 통제해야 한다. 보기 오답/정답 분석 A 정답. 고위험 결과는 실행 직전에 사람 확인·승인 지점을 둬 자동 실행의 위험을 통제해야 한다. B 오답. 고위험 출력의 무검토 자동 실행은 큰 위험이다. C 오답. 위험 통제 지점은 사람이 설계할 일이다. D 오답. 승인 지점 설계로 다룰 일을 포기로 대응한다. 실무 포인트: 고위험 출력 전엔 사람 확인·승인 지점을 둔다. 변별 의도: 무검토 자동 실행하는 사람과 승인 지점을 두는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0022,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_2차20문항_v1_1.html,2,,
23,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,"어떤 때는 한 줄 요약, 어떤 때는 상세 설명이 필요한데 출력 길이가 들쭉날쭉하다. 가장 적절한 지시는?",그때그때 더 자세히 또는 더 짧게 써달라고 강조해 다시 지시한다,길이는 AI가 알아서 맞추도록 그대로 맡긴다,길이는 받은 뒤 사람이 매번 직접 조절한다,원하는 상세 수준·분량을 지시에 구체적으로 지정한다,,1,정답 근거 상황별로 원하는 상세 수준·분량을 지정하면 일관된 길이의 출력을 받는다. 보기 오답/정답 분석 A 오답. 강조 표현만으로는 일관된 길이 제어가 안 된다. B 오답. 분량 미지정은 들쭉날쭉한 출력을 부른다. C 오답. 매번 수동 조절은 비효율적이다. D 정답. 상황별로 원하는 상세 수준·분량을 지정하면 일관된 길이의 출력을 받는다. 실무 포인트: 상세 수준·분량은 지시에 구체적으로 지정한다. 변별 의도: 강조·후처리로 때우는 사람과 수준을 지정하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0023,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_2차20문항_v1_1.html,2,,
24,AXIS,L2,고급 AI 지시·워크플로우 설계,고급 지시설계형,고급 지시설계형,tool_use,medium,복잡한 판단이 필요한 문제에서 AI가 근거 없이 결론만 낸다. 가장 적절한 지시 보완은?,더 똑똑하게 깊이 생각해서 답하라고 강조해 다시 지시한다,결론에 이르는 근거·과정을 단계적으로 보이도록 지시한다,사고 과정은 AI가 알아서 하게 두고 결론만 받는다,근거가 없어도 결론만 그대로 사용한다,,1,정답 근거 근거·추론 과정을 단계적으로 보이게 하면 판단의 타당성을 점검할 수 있다. 보기 오답/정답 분석 A 오답. 강조 표현은 근거 제시를 끌어내지 못한다. B 정답. 근거·추론 과정을 단계적으로 보이게 하면 판단의 타당성을 점검할 수 있다. C 오답. 과정 없는 결론은 검증이 불가능하다. D 오답. 근거 없는 결론을 그대로 쓰면 위험하다. 실무 포인트: 복잡 판단은 근거·과정을 단계적으로 보이게 한다. 변별 의도: 강조·결론만 받는 사람과 추론을 요청하는 실무자를 구분한다.,AXIS-L2-OBJ-ADV-0024,False,approved,import:AXIS_L2_객관식_고급지시워크플로우_2차20문항_v1_1.html,2,,
